,Control,L16,L20,L36,L9,L32,L33,L31,L26,L30,L2,L12,L40,L29,L34,L21,L19,L4,L1,L18,L3,L27,L8,L25,L28,L11,L7,L17,L14,L38,L23,L10,L15,L22,L24,L6,L13,L37,L35,L5,L39,taxonomy,chn,location
ASV_225,1,0,0,0,0,70,139,0,82,0,81,0,0,0,31,0,0,138,0,301,0,27,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,73,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Pseudobrama; Pseudobrama simoni,似鳊,
ASV_555,12,0,0,0,19,21,0,55,22,19,17,28,21,0,18,22,7,19,0,10,14,32,50,10,0,20,0,6,0,10,39,34,51,0,0,0,12,8,7,8,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Pseudohemiculter; Pseudohemiculter dispar,南方拟䱗,
ASV_195,0,0,0,0,0,140,0,302,106,0,0,101,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,59,155,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Pseudolaubuca; Pseudolaubuca engraulis,寡鳞飘鱼,
ASV_21,0,267,43,19,231,18,944,289,336,3002,62,52,5,1639,113,56,1586,60,338,5156,258,160,910,1557,997,977,53,2897,476,961,6513,568,964,240,371,1209,55,9,15,481,1588,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Squaliobarbus; Squaliobarbus curriculus,赤眼鳟,
ASV_558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Toxabramis; Toxabramis houdemeri,海南似鱎,
ASV_288,0,0,0,0,0,0,0,138,0,0,0,0,0,0,3,0,0,0,0,236,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Toxabramis; Toxabramis swinhonis,似鱎,
ASV_477,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Xenocypris; Xenocypris fangi,方氏鲴,
ASV_83,0,0,0,0,140,0,0,0,0,0,1257,61,0,553,0,70,201,0,0,0,6,4,45,0,0,0,0,51,0,39,0,0,0,0,0,99,64,0,1,4,6,Metazoa; Chordata; Actinopteri; Cyprinodontiformes; Poeciliidae; Gambusia; Gambusia affinis,食蚊鱼,invasive
ASV_361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,3,0,0,0,0,24,Metazoa; Chordata; Actinopteri; Gobiiformes; Eleotridae; Bostrychus; Bostrychus sinensis,中华乌塘鳢,
ASV_148,0,0,0,0,0,2,0,0,2,838,0,416,0,0,0,0,0,0,0,8,10,5,0,0,0,0,0,0,0,382,0,0,0,0,0,333,0,0,1,4,4,Metazoa; Chordata; Actinopteri; Gobiiformes; Eleotridae; Eleotris; Eleotris oxycephala,尖头塘鳢,
ASV_145,1,0,0,0,0,408,4,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,399,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Eleotridae; Eleotris; Eleotris fusca,褐塘鳢,invasive
ASV_297,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,111,0,0,0,0,0,0,0,0,367,0,0,16,0,0,0,60,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Eugnathogobius; Eugnathogobius oligactis,真颌鰕虎鱼,
ASV_38,3,14,22,68,9,13,898,15,119,3089,29,19,6,396,775,17,581,17,6,1059,11,491,25,654,1050,464,22,6,34,209,1454,1077,237,371,6,9,21,397,168,11,226,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Glossogobius; Glossogobius giuris,舌鰕虎鱼,
ASV_99,4,0,0,0,213,0,318,0,0,0,0,0,0,173,96,0,0,0,36,0,459,0,0,0,0,0,0,3,0,0,0,748,0,0,0,0,32,0,2,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; NA; NA,,
ASV_89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,612,0,0,0,452,0,0,0,0,905,0,0,0,26,74,3,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Odontamblyopus; Odontamblyopus rebecca,狼牙鰕虎鱼,
ASV_84,0,0,0,0,0,4,6,0,0,2751,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,5,0,0,300,0,0,0,4,0,0,3,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Periophthalmus; Periophthalmus magnuspinnatus,大鳍弹涂鱼,
ASV_57,1,0,0,5,0,6,7,14,3,0,13,0,3,6,3,13,9,9,5,0,9,11,20,3,8,11,0,5,0,6016,6,13,6,23,9,10,9,4,2,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Pseudogobius; Pseudogobius taijiangensis,拟虾虎鱼,
ASV_76,3,258,1232,3,164,0,347,0,105,11,0,0,3,0,55,13,0,432,2,7,583,4,0,5,6,529,0,340,21,143,512,0,79,0,749,4,107,3,289,79,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Rhinogobius; Rhinogobius cliffordpopei,波氏吻虾虎鱼,
ASV_173,1,0,0,3,0,0,308,0,3,0,0,0,0,0,112,0,0,0,0,0,370,104,88,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,58,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Rhinogobius; Rhinogobius brunneus,褐吻鰕虎鱼,
ASV_43,102,42,1721,5,4,476,317,119,83,13,1323,415,326,317,79,872,0,140,300,48,1938,395,367,929,160,729,34,9,304,29,387,34,430,15,58,17,80,3,416,70,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Rhinogobius; Rhinogobius similis,子陵吻虾虎鱼,
ASV_264,0,0,290,0,0,70,0,0,48,0,181,0,0,0,0,0,0,0,0,65,141,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Taenioides; Taenioides sp.,鳗虾虎鱼,
ASV_101,0,0,0,52,0,374,0,1303,371,133,0,0,0,0,5,0,4,0,52,0,0,118,0,4,0,0,11,0,0,503,0,0,0,0,0,0,23,63,1,9,799,Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Tridentiger; Tridentiger trigonocephalus,纹缟鰕虎鱼,
