"OTUId","L1","L10","L11","L13","L14","L15","L16","L17","L18","L2","L23","L24","L25","L26","L27","L28","L29","L3","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L4","L40","L5","L6","PM201阴性","PM201质粒","PM201mix样品","THERMO质粒","YESEN质粒","YESENmix样品","taxonomy"
"OTU_14",3,13,7,12,7,5,7,13,11,40,2,8,2,6,8,0,6,31,8,7,10,8,1,4,6,7,12,1,5,13,11,0,703,1994,604,357,3789,1282,"Animalia; Chordata; Osteichthyes; Siluriformes; Loricariidae; Pterygoplichthys; Pterygoplichthys disjunctivus"
"OTU_140",0,5,0,5,16,4,0,1,1,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,"Unknown"
"OTU_141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,"Metazoa; Chordata; Actinopteri; Clupeiformes; Clupeidae; Clupanodon; Clupanodon thrissa"
"OTU_142",1,23,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"Unknown"
"OTU_143",0,0,0,0,0,0,6,0,2,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,"Unknown"
"OTU_144",0,3,0,0,0,3,0,1,3,0,1,2,0,0,0,1,1,0,1,1,1,3,1,0,3,2,0,0,3,0,7,2,0,0,0,0,0,0,"Unknown"
"OTU_145",0,0,4,0,0,0,0,4,0,0,0,0,0,8,0,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"Metazoa; Chordata; Aves; Anseriformes; Anatidae; NA; NA"
"OTU_146",2,0,4,2,5,1,2,2,1,3,2,2,4,0,3,1,0,3,1,1,1,1,0,0,0,0,7,4,1,2,1,1,1,2,3,16,21,9,"Metazoa; Chordata; Actinopteri; Cypriniformes; Tincidae; Tinca; Tinca tinca"
"OTU_147",0,0,0,2,0,0,0,0,20,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,2,2,0,6,0,0,4,0,0,0,"Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Pseudolaubuca; Pseudolaubuca engraulis"
"OTU_148",4,6,18,0,0,0,10,2,0,8,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,"Metazoa; Chordata; Actinopteri; Cypriniformes; Cobitidae; Misgurnus; NA"
"OTU_149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,59,0,0,20,"Metazoa; Chordata; Actinopteri; Cichliformes; Cichlidae; Oreochromis; NA"
"OTU_15",63,99,43,44,23,35,51,63,58,36,51,41,26,22,9,22,11,54,29,28,13,27,23,36,17,27,125,36,36,71,38,28,974,1191,928,2524,1207,3018,"Animalia; Chordata; Osteichthyes; Cypriniformes; Cyprinidae; Labeo; Labeo rohita"
"OTU_150",6,4,5,0,2,2,3,1,1,7,0,1,0,1,0,1,0,10,0,0,0,1,1,1,0,0,0,0,9,3,0,0,0,0,0,0,0,1,"Unknown"
"OTU_151",1,1,1,0,0,0,0,0,13,0,0,0,5,0,0,1,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Metazoa; Chordata; Aves; Galliformes; Phasianidae; Gallus; NA"
"OTU_152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,69,43,0,1,1,"Metazoa; Chordata; Actinopteri; Siluriformes; Clariidae; Clarias; Clarias batrachus"
"OTU_153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,4,4,15,"Metazoa; Chordata; Actinopteri; Semionotiformes; Lepisosteidae; Lepisosteus; NA"
"OTU_154",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,50,0,29,0,0,2,"Metazoa; Chordata; Actinopteri; Siluriformes; NA; NA; NA"
"OTU_155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,"Animalia; Arthropoda; Crustacea; Thoracica; Balanidae; Amphibalanus; Amphibalanus Amphitrite"
